name,transcription,prediction,ev_wer,ev_cer,my_wer,my_cer
p263_001,Please call Stella., Please call Stela,33.33333333333333,10.526315789473683,33.33333333333333,15.789473684210526
p263_002,Ask her to bring these things with her from the store., ask how she'd been these things we'll far from a store,72.72727272727273,38.88888888888889,54.54545454545454,50.0
p263_003,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."," six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for a brother bomb",20.0,7.8431372549019605,10.0,12.745098039215685
p263_004,We also need a small plastic snake and a big toy frog for the kids., We also need a spa plastic snake and a big toy for all cruelly kids,33.33333333333333,22.388059701492537,26.666666666666668,25.37313432835821
p263_005,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.", she can script these things into three-grade bags and we will go meet her Wednesday at a train station,35.0,12.62135922330097,20.0,27.184466019417474
p263_006,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.", When the sunlight strikes raindrops in the air they act as a prism and former rainbow,23.52941176470588,4.597701149425287,11.76470588235294,20.689655172413794
p263_007,The rainbow is a division of white light into many beautiful colors., the rainbow is a division of white light into many beautiful colors,16.666666666666664,2.941176470588235,0.0,10.294117647058822
p263_008,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.", the use state the shape of a long-round arch with its path high above and its two aings apparently beyond horizon,45.45454545454545,13.793103448275861,95.45454545454545,100
p263_009,"There is , according to legend, a boiling pot of gold at one end."," There is , according to legend, a boiling pot of gold one end",14.285714285714285,6.153846153846154,14.285714285714285,13.846153846153847
p263_010,"People look, but no one ever finds it.", people look but no one ever finds it,37.5,7.894736842105263,0.0,42.10526315789473
p263_011,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When a man looks for something beyond his reach, his friend say is looking for the pot of gold at the end of a rainbow",15.384615384615385,6.4,15.384615384615385,7.199999999999999
p263_012,Throughout the centuries people have explained the rainbow in various ways., throughout the centuries people have explained a rainbow in various ways,27.27272727272727,6.666666666666667,9.090909090909092,32.0
p263_013,Some have accepted it as a miracle without physical explanation., Some have accepted it as a medical or felt physical explanation,40.0,18.75,30.0,26.5625
p263_014,To the Hebrews it was a token that there would be no more universal floods., to the Hebrews it was a token that there would be no more universal flaunts,13.333333333333334,8.0,6.666666666666667,12.0
p263_015,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., The Greeks used to imagine that it was a sign from the gods to forteal war or heavy rain,10.526315789473683,3.3333333333333335,5.263157894736842,5.555555555555555
p263_016,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., The Norse main considered Dereimbo is a bridge over which she gods passed from Earth to their home in the sky,38.095238095238095,11.711711711711711,28.57142857142857,24.324324324324326
p263_017,Others have tried to explain the phenomenon physically., others have tried to explain a phenomenon physically,37.5,9.090909090909092,12.5,29.09090909090909
p263_018,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., are a total thought that the rainbow was caused by reflection of a son raised by the rain,43.75,18.88888888888889,43.75,31.11111111111111
p263_019,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.", Since then physicists have found that is not reflection but refraction by the rain droughts which causes the rainbows,26.31578947368421,8.47457627118644,21.052631578947366,15.254237288135593
p263_020,Many complicated ideas about the rainbow have been formed., Many complicated ideas about the rainbow have been formed,11.11111111111111,1.7241379310344827,0.0,1.7241379310344827
p263_021,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.", The difference in the rainbow depends considerably upon the size of a drops and a wood-tobacolored band increases as the size of a drops increases,32.142857142857146,13.291139240506327,32.142857142857146,58.22784810126582
p263_022,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., the actual primary rainbow observed to say to be their fate of superimposition of a number of pools,38.88888888888889,15.841584158415841,33.33333333333333,31.683168316831683
p263_023,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," a farade of the second bow falls upon a green of the first, a result is to give a bow of an ombrumruly wide yellow band since red and green light win mixed, for me illa",36.11111111111111,20.224719101123593,30.555555555555557,24.719101123595504
