name,transcription,prediction,ev_wer,ev_cer,my_wer,my_cer
p288_001,Please call Stella.,please call stella,66.66666666666666,15.789473684210526,0.0,15.789473684210526
p288_002,Ask her to bring these things with her from the store., ask it to bring these things with her from the store,27.27272727272727,9.25925925925926,9.090909090909092,16.666666666666664
p288_003,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."," Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother, Bob",10.0,1.9607843137254901,0.0,1.9607843137254901
p288_004,We also need a small plastic snake and a big toy frog for the kids., We also need a small plastic snake and a big toy frog for the kids,6.666666666666667,1.4925373134328357,0.0,1.4925373134328357
p288_005,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.", she can scoop these things into three red bags and we will go meet her at mr at the train station,25.0,11.650485436893204,10.0,18.446601941747574
p288_006,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the sunlight strikes raindrops in the air, their actors are prison and form a rainbow",35.294117647058826,10.344827586206897,29.411764705882355,21.839080459770116
p288_007,The rainbow is a division of white light into many beautiful colors., the rainbow is a division of white light into many beautiful colours,16.666666666666664,4.411764705882353,8.333333333333332,13.23529411764706
p288_008,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."," These take the shape of a long round arch, with its path high above and its too ends apparently beyond the horizon",13.636363636363635,2.586206896551724,4.545454545454546,2.586206896551724
p288_009,"There is , according to legend, a boiling pot of gold at one end.","there is , according to legend, a boiling pot of gold at one end",14.285714285714285,3.076923076923077,0.0,3.076923076923077
p288_010,"People look, but no one ever finds it."," people look, but no one ever finds it",25.0,5.263157894736842,0.0,34.21052631578947
p288_011,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When a man looks to something beyond his reach, his friend say he is looking for the pot of gold at the end of the rainbow",11.538461538461538,3.2,7.6923076923076925,3.2
p288_012,Throughout the centuries people have explained the rainbow in various ways.," Throughout the centuries, people have explained the rainbow in various ways",18.181818181818183,2.666666666666667,0.0,2.666666666666667
p288_013,Some have accepted it as a miracle without physical explanation., some have accepted it as a miracle without physical explanation,20.0,3.125,0.0,14.0625
p288_014,To the Hebrews it was a token that there would be no more universal floods.," to the hibrus, it is a token that there would be no more universal floods",26.666666666666668,12.0,13.333333333333334,17.333333333333336
p288_015,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., the greeks used to imagine that it was a sign from the gods to hotel war or heavy rain,21.052631578947366,7.777777777777778,5.263157894736842,23.333333333333332
p288_016,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., the north man considered the rainbow is a bridge over which the god passed from earth to their home in the sky,28.57142857142857,8.108108108108109,19.047619047619047,19.81981981981982
p288_017,Others have tried to explain the phenomenon physically., others have tried to explain the phenomenon physically,25.0,3.6363636363636362,0.0,23.636363636363637
p288_018,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., our a subtle thought that the rainbow is caused by reflection of the sons raised by the rain,43.75,16.666666666666664,43.75,32.22222222222222
p288_019,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.","since then, physicists have found that it is not reflection, but reflection by the rained jobs which causes the rained bows",36.84210526315789,10.16949152542373,26.31578947368421,18.64406779661017
p288_020,Many complicated ideas about the rainbow have been formed., Many complicated ideas about the rainbow have been formed,11.11111111111111,1.7241379310344827,0.0,1.7241379310344827
p288_021,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.", the difference in the rainbow depends considerably upon the size of the jobs and the width of the coloured band increases as the size of the jobs increases,17.857142857142858,6.329113924050633,7.142857142857142,13.924050632911392
p288_022,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., the actual primary rainbow observed is said to be the effect of super in position of a number of bows,27.77777777777778,4.9504950495049505,38.88888888888889,42.57425742574257
p288_023,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," if the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow",5.555555555555555,1.1235955056179776,0.0,2.8089887640449436
p288_024,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.","this is a very common type of bow, one showing mindie red and yellow, with little or no green or blue",14.285714285714285,5.88235294117647,4.761904761904762,6.862745098039216
p288_025,She is given a new deputy minister for transport and planning., she has given a new deputy minister for transport and planning,27.27272727272727,6.451612903225806,9.090909090909092,16.129032258064516
p288_026,It is a disaster area., it is a disaster area,40.0,9.090909090909092,0.0,22.727272727272727
p288_027,Is this accurate?, is this accurate?,33.33333333333333,5.88235294117647,0.0,23.52941176470588
p288_028,"However, the following year the cancer returned."," However, the following year the council returned",28.57142857142857,10.416666666666668,14.285714285714285,14.583333333333334
p288_029,Because we do not need it., because we do not need it,33.33333333333333,7.6923076923076925,0.0,57.692307692307686
p288_030,I was an athlete., i am as an athlete,100.0,29.411764705882355,50.0,100
p288_031,It is a case of taking a risk., it is a case of taking a risk,25.0,6.666666666666667,0.0,16.666666666666664
p288_032,We must provide a long-term solution to tackle this attitude., We must provide a long-term solution to tackle this attitude,10.0,1.639344262295082,0.0,1.639344262295082
p288_033,I think a move would create a lot of interest., i think a move would create a lot of interest,20.0,4.3478260869565215,0.0,6.521739130434782
p288_034,It was fit for royalty., it was fit for royalty,40.0,8.695652173913043,0.0,21.73913043478261
p288_035,Clark was desperate to return to the House of Commons.,clark was desperate to return to the house of commons,30.0,7.4074074074074066,0.0,7.4074074074074066
p288_036,President Bush is at war., president bush is that war,80.0,20.0,20.0,100
p288_037,That brought a wonderful marriage of bass and soprano., that brought a wonderful garage of base and soprano,44.44444444444444,11.11111111111111,22.22222222222222,29.629629629629626
p288_038,I was scared., i was scared,66.66666666666666,15.384615384615385,0.0,23.076923076923077
p288_039,It is hard to avoid the conclusion that lessons have been learned., it is hard to avoid the conclusion that lessons have been learned,16.666666666666664,3.0303030303030303,0.0,7.575757575757576
p288_040,But it took a lot of bottle., but it took a lot of bottle,28.57142857142857,7.142857142857142,0.0,25.0
p288_041,Iain Duncan Smith is a decent man.,iain duncan smith is a decent man,57.14285714285714,11.76470588235294,0.0,11.76470588235294
p288_042,We need to chat., We need to chat,25.0,6.25,0.0,6.25
p288_043,But it might have done., but it might have done,40.0,8.695652173913043,0.0,30.434782608695656
p288_044,"Hopefully, it will be built by next year."," Hopefully, it will be built by next year",12.5,2.4390243902439024,0.0,2.4390243902439024
p288_045,He is too weak to move., he is too weak to move,33.33333333333333,8.695652173913043,0.0,21.73913043478261
p288_046,Rebuilding public transport was never going to happen overnight., Rebuilding public transport was never going to happen overnight,11.11111111111111,1.5625,0.0,1.5625
p288_047,He has already suffered a good deal of unwanted attention., he has already suffered a good deal of unwanted attention,20.0,3.4482758620689653,0.0,8.620689655172415
p288_048,It will come all right., it will come all right,40.0,8.695652173913043,0.0,21.73913043478261
p288_049,I was lost., i was lost,66.66666666666666,18.181818181818183,0.0,27.27272727272727
p288_050,"I guess I was lucky, though."," i guess i was lucky, though",50.0,10.714285714285714,0.0,14.285714285714285
p288_051,I was inspired by two things., i was inspired by two things,33.33333333333333,6.896551724137931,0.0,10.344827586206897
p288_052,"Sadly, it can't."," Sadly, it cant",33.33333333333333,12.5,33.33333333333333,18.75
p288_053,It's very odd.,its very hard,66.66666666666666,42.857142857142854,66.66666666666666,50.0
p288_054,It is unique., it is a unique,100.0,30.76923076923077,33.33333333333333,100
p288_055,It will take time., it will take time,50.0,11.11111111111111,0.0,27.77777777777778
p288_056,That's the truth., thats the truth,66.66666666666666,17.647058823529413,66.66666666666666,70.58823529411765
p288_057,The story was first reported in the Spectator magazine., the story was first reported in the spectator magazine,33.33333333333333,5.454545454545454,0.0,14.545454545454545
p288_058,The problems are a result of that shortfall., the problems are a result of that shortfall,25.0,4.545454545454546,0.0,15.909090909090908
p288_059,Four other charges were dropped., four other charges were dropped,40.0,6.25,0.0,28.125
p288_060,Lancashire Police said they were not treating the death as suspicious., Lancashire police said they were not treating the death as suspicious,18.181818181818183,2.857142857142857,0.0,2.857142857142857
p288_061,They're appalled by that., They are appalled by that,75.0,12.0,75.0,60.0
p288_062,Scotland had great assets., scotland had great assets,50.0,7.6923076923076925,0.0,65.38461538461539
p288_063,Equity declined to comment., Equity declined to comment,25.0,3.7037037037037033,0.0,3.7037037037037033
p288_064,We should have known., We should have known,25.0,4.761904761904762,0.0,4.761904761904762
p288_065,The end result is precisely the same., the end result is precisely the same,28.57142857142857,5.405405405405405,0.0,18.91891891891892
p288_066,Sounds like The Sixth Sense?, sounds like the six cents,80.0,32.142857142857146,40.0,71.42857142857143
p288_067,There is an element of racism in Scotland.,there is an element of racism in scotland,25.0,7.142857142857142,0.0,7.142857142857142
p288_068,That was the easy election., that is the easy election,60.0,14.814814814814813,20.0,40.74074074074074
p288_069,"IT shouldn't come as a surprise, but it does."," it shouldnt come as a surprise, but it does",33.33333333333333,8.88888888888889,11.11111111111111,44.44444444444444
p288_070,Neither it is., Neither it is,33.33333333333333,7.142857142857142,0.0,7.142857142857142
p288_071,He seemed to lose his focus., he seemed to lose his focus,33.33333333333333,7.142857142857142,0.0,17.857142857142858
p288_072,It can be halted., it can be halted,50.0,11.76470588235294,0.0,29.411764705882355
p288_073,It was chaotic., it was chaotic,66.66666666666666,13.333333333333334,0.0,33.33333333333333
p288_074,Is there a new way forward?, is there a no way forward?,33.33333333333333,11.11111111111111,16.666666666666664,22.22222222222222
p288_075,The guidelines are expected to be finalised before next spring., the guidelines are expected to be finalised before next spring,20.0,3.1746031746031744,0.0,11.11111111111111
p288_076,I've not thought about it.,ive not thought about it,40.0,11.538461538461538,20.0,19.230769230769234
p288_077,People must remain vigilant., people must remain vigilant,50.0,7.142857142857142,0.0,46.42857142857143
p288_078,This is the way things should be handled., This is the way things should be handled,12.5,2.4390243902439024,0.0,2.4390243902439024
p288_079,Every woman deserves to live without this type of fear., Every woman deserves to live without this type of fear,10.0,1.8181818181818181,0.0,1.8181818181818181
p288_080,It's all going to clear the debt., its all going to clear the debt,28.57142857142857,9.090909090909092,28.57142857142857,24.242424242424242
p288_081,"Last week, he was taken into hospital.", last week he was taken into hospital,42.857142857142854,7.894736842105263,0.0,36.84210526315789
p288_082,Nothing is yet confirmed.,nothing is yet confirmed,50.0,8.0,0.0,8.0
p288_083,New Zealand rugby is totally different., New Zealand drug league is totally different,50.0,23.076923076923077,33.33333333333333,30.76923076923077
p288_084,We have other options., We have other options,25.0,4.545454545454546,0.0,4.545454545454546
p288_085,When people talk about the Beach Boys and Brian Wilson.," When people talk about the beach boys in vrine, Wilson",50.0,16.363636363636363,20.0,16.363636363636363
p288_086,"By then, he was walking on water.", By then he was walking on water,28.57142857142857,6.0606060606060606,0.0,6.0606060606060606
p288_087,It just shows the arrogance of Labour and the Liberal Democrats., it just shows the arrogance of labour and the liberal democrats,36.36363636363637,7.8125,0.0,12.5
p288_088,Every time I play I do not understand their reaction.," Every time i play, i do not understand their reaction",40.0,7.547169811320755,0.0,7.547169811320755
p288_089,"Yesterday, he continued to keep a low profile."," Yesterday, he continued to keep a low profile",12.5,2.1739130434782608,0.0,2.1739130434782608
p288_090,It is a lifeline.,it is a lifeline,50.0,11.76470588235294,0.0,11.76470588235294
p288_091,That deal will be decided under the existing rules., that deal would be decided under the existing rules,33.33333333333333,9.803921568627452,11.11111111111111,23.52941176470588
p288_092,Scotland will have strong defences as part of the United Kingdom., scotland will have strong offences as part of the united kingdom,36.36363636363637,9.230769230769232,9.090909090909092,32.30769230769231
p288_093,They were under a lot of pressure from the other clubs., They were under a lot of pressure from the other clubs,9.090909090909092,1.8181818181818181,0.0,1.8181818181818181
p288_094,Children should be given the same amount of rights as adults., children should be given the same amount of rights as adults,18.181818181818183,3.278688524590164,0.0,27.86885245901639
p288_095,Journalists should make him., Journalists should make him,25.0,3.571428571428571,0.0,3.571428571428571
p288_096,It was a good performance., it is a good performance,60.0,15.384615384615385,20.0,30.76923076923077
p288_097,"Here, again, they were denied a voice.","here, again, there a denied a voice",57.14285714285714,18.421052631578945,28.57142857142857,21.052631578947366
p288_098,I didn't play well last year., i didnt play well last year,50.0,10.344827586206897,16.666666666666664,44.827586206896555
p288_099,It was an adventure., it is an adventure,75.0,20.0,25.0,40.0
p288_100,I did not think about the Ryder Cup., i did not think about the rider cup,37.5,13.88888888888889,12.5,16.666666666666664
p288_101,I'm not depressed.,im not depressed,66.66666666666666,16.666666666666664,33.33333333333333,22.22222222222222
