name,wer,wer_n,cer,cer_n,transcription,prediction
p312_002,0.0,0.0,1.8518518518518516,1.8181818181818181,Ask her to bring these things with her from the store., Ask her to bring these things with her from the store
p312_003,0.0,0.0,1.9607843137254901,1.9230769230769231,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."," Six spoons of fresh snow, peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob"
p312_004,0.0,0.0,1.4925373134328357,1.4705882352941175,We also need a small plastic snake and a big toy frog for the kids., We also need a small plastic snake and a big toy frog for the kids
p312_005,0.0,0.0,1.9417475728155338,1.9230769230769231,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.", She can scoop these things into three red bags and we will go meet her Wednesday at the train station
p312_006,0.0,0.0,1.1494252873563218,1.1363636363636365,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow"
p312_007,8.333333333333332,8.333333333333332,4.411764705882353,4.3478260869565215,The rainbow is a division of white light into many beautiful colors., The rainbow is a division of white light into many beautiful colours
p312_008,0.0,0.0,2.586206896551724,2.564102564102564,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.", These take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon
p312_009,14.285714285714285,14.285714285714285,30.76923076923077,27.027027027027028,"There is , according to legend, a boiling pot of gold at one end.", There is according to legend a boiling pot of gold at one end
p312_010,0.0,0.0,5.263157894736842,5.128205128205128,"People look, but no one ever finds it.", People look but no one ever finds it
p312_011,8.0,8.0,4.838709677419355,4.8,"When a man looks for something beyond his reach, his friends say he's looking for the pot of gold at the end of the rainbow.", When a man looks or something beyond his reach his friend say he's looking for the pot of gold at the end of the rainbow
p312_012,0.0,0.0,1.3333333333333335,1.3157894736842104,Throughout the centuries people have explained the rainbow in various ways., Throughout the centuries people have explained the rainbow in various ways
p312_013,0.0,0.0,1.5625,1.5384615384615385,Some have accepted it as a miracle without physical explanation., Some have accepted it as a miracle without physical explanation
p312_014,0.0,0.0,1.3333333333333335,1.3157894736842104,To the Hebrews it was a token that there would be no more universal floods., To the Hebrews it was a token that there would be no more universal floods
p312_015,21.052631578947366,21.052631578947366,20.0,19.148936170212767,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., The Greece used to imagine that it was a sign from a gods to Fortelvoire or heavy rain
p312_016,0.0,0.0,0.9009009009009009,0.8928571428571428,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., The Norsemen considered the rainbow as a bridge over which the gods passed from Earth to their home in the sky.
p312_017,0.0,0.0,1.8181818181818181,1.7857142857142856,Others have tried to explain the phenomenon physically., Others have tried to explain the phenomenon physically
p312_018,12.5,12.5,16.666666666666664,15.957446808510639,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., Aerostartals thought that the rainbow is caused by reflection of the sun's rays by the rain
p312_019,0.0,0.0,2.5423728813559325,2.479338842975207,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."," Since then, physicists have found that it is not reflection but refraction by the raindrops, which causes the rainbows."
p312_020,0.0,0.0,3.389830508474576,3.278688524590164,Many complicated ideas about the rainbows have been formed.," Many complicated ideas about, the rainbows have been formed"
p312_021,3.571428571428571,3.571428571428571,1.2738853503184715,1.2658227848101267,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increase as the size of the drops increases."," The difference in the rainbow depends considerably upon the size of the drops, and the width of the color band increase as the size of the drops increases."
p312_022,21.052631578947366,21.052631578947366,52.475247524752476,41.732283464566926,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., The actual primary rainbow observed said to be the effect of superimposition of a number of bows
p312_023,13.88888888888889,13.88888888888889,8.426966292134832,8.19672131147541,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," Is the red of the second bow falls upon the green of the first? The result is if you give a bow with an abnormally wide yellow band, since red and green light one makes form yellow"
p312_024,9.523809523809524,9.523809523809524,3.9215686274509802,3.8095238095238098,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."," This is a very common type of bow, one showing mainly red and yellow, with little or no greener blue."
p312_025,0.0,0.0,6.451612903225806,6.25,Perhaps that was their mistake., perhaps that was their mistake
p312_026,0.0,0.0,3.3333333333333335,3.225806451612903,This was a rationing decision., This was a rationing decision
p312_027,0.0,0.0,2.0,1.9607843137254901,The way forward is working with other disciplines., The way forward is working with other disciplines
p312_028,0.0,0.0,3.4482758620689653,3.3333333333333335,He is doing the right things., He is doing the right things
p312_029,0.0,0.0,4.0,3.8461538461538463,Blood samples were taken., Blood samples were taken
