name,wer,wer_n,cer,cer_n,transcription,prediction
p251_001,0.0,0.0,15.789473684210526,15.0,Please call Stella.,please call stella
p251_002,0.0,0.0,3.7037037037037033,3.6363636363636362,Ask her to bring these things with her from the store., ask her to bring these things with her from the store
p251_003,30.0,30.0,25.49019607843137,25.0,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."," Six bones of fresh no space, five big slabs of blue cheese, and maybe a snack for a brother bomb"
p251_004,0.0,0.0,1.4925373134328357,1.4705882352941175,We also need a small plastic snake and a big toy frog for the kids., We also need a small plastic snake and a big toy frog for the kids
p251_005,5.0,5.0,5.825242718446602,5.769230769230769,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.", she can scup these things into three red bags and we will go meet her Wednesday at the train station
p251_006,23.52941176470588,23.52941176470588,9.195402298850574,8.695652173913043,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the sunlight strikes raindrops in the air, the actors are prism and form a rainbow"
p251_007,8.333333333333332,8.333333333333332,7.352941176470589,7.042253521126761,The rainbow is a division of white light into many beautiful colors.,the rainbow is the division of white light into many beautiful colors
p251_008,18.181818181818183,17.391304347826086,18.103448275862068,16.27906976744186,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."," these take the shape of a long-term ground arch, with its path high about and its too ends apparently beyond the horizon"
p251_009,0.0,0.0,3.076923076923077,3.0303030303030303,"There is , according to legend, a boiling pot of gold at one end.","there is , according to legend, a boiling pot of gold at one end"
p251_010,0.0,0.0,5.263157894736842,5.128205128205128,"People look, but no one ever finds it."," people look, but no one ever finds it"
p251_011,19.230769230769234,19.230769230769234,16.0,15.151515151515152,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When a man looks for something, be honest, rich, his friend said he is looking for the pot of gold at the end of the rainbow"
p251_012,0.0,0.0,2.666666666666667,2.5974025974025974,Throughout the centuries people have explained the rainbow in various ways.," Throughout the centuries, people have explained the rainbow in various ways"
p251_013,0.0,0.0,3.125,3.076923076923077,Some have accepted it as a miracle without physical explanation., some have accepted it as a miracle without physical explanation
p251_014,33.33333333333333,33.33333333333333,33.33333333333333,30.120481927710845,To the Hebrews it was a token that there would be no more universal floods.," to the hibrus, it was spoken that there had been no more universal floods"
p251_015,10.526315789473683,10.526315789473683,11.11111111111111,10.989010989010989,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., the greeks used to imagine that it was a sign from the god to hotel war or heavy rain
p251_016,19.047619047619047,18.181818181818183,18.01801801801802,17.094017094017094,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., the north man considered the rainbow as a bridge over which the guard passed from out to their home in the sky
p251_017,0.0,0.0,3.6363636363636362,3.571428571428571,Others have tried to explain the phenomenon physically., others have tried to explain the phenomenon physically
p251_018,37.5,31.57894736842105,31.11111111111111,25.454545454545453,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., a real start-all thought that the rainbow was caused by reflection of the suns raised by the rain
p251_019,21.052631578947366,21.052631578947366,10.16949152542373,9.67741935483871,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.","since then, physicists have found that its not reflection, but reflection, but the raindrops, which causes the rainbows"
p251_020,11.11111111111111,11.11111111111111,8.620689655172415,8.47457627118644,Many complicated ideas about the rainbow have been formed., Many complicated ideas about the rainbow have been found
p251_021,10.714285714285714,13.043478260869565,12.658227848101266,12.5,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.", the difference in the rainbow depends considerably upon the size of the jobs and the width of the coloured band increases as a size of the jobs increases
p251_022,31.57894736842105,31.57894736842105,33.663366336633665,29.310344827586203,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., the actual primary rainbow absurd is set to be the effects of superim position of the number of bows
p251_023,8.333333333333332,8.571428571428571,6.179775280898876,6.077348066298343,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," if the red of the second ball falls upon the green of the first, the result is to give a bow with an abnormally white yellow band, since red and green light when mixed from yellow"
p251_024,9.523809523809524,9.523809523809524,9.803921568627452,9.433962264150944,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.","this is very common type of bow, one showing mainly red and yellow, with little or no green or blue"
p251_025,25.0,25.0,17.391304347826086,16.0,Johnson was pretty low., Johnson most pretty low
p251_026,0.0,0.0,14.285714285714285,13.333333333333334,But it failed., but it failed
p251_027,25.0,25.0,20.0,19.047619047619047,That's no bad thing., thats no bad thing
p251_028,0.0,0.0,4.838709677419355,4.761904761904762,People come into the Borders for the beauty of the background., people come into the borders for the beauty of the background
p251_029,28.57142857142857,28.57142857142857,22.916666666666664,22.448979591836736,"However, the following year the cancer returned."," However, the fallen euro the cancer returned"
